ID,location,PropertyType,BHK,price
35893347,Chitrakoot,builder floor apartment,3.0,15000
40897669,Mansarovar,apartment,3.0,27000
29131373,Lalkothi,builder floor apartment,3.0,27000
42824989,Nh 8,apartment,2.0,5000
42897671,Jagatpura,apartment,3.0,14000
20846351,Ajmer Road,apartment,4.0,70000
25203193,Malviya Nagar,residential house,2.0,12000
23806969,Gopal Bari,residential house,2.0,15000
41552025,Jagatpura,residential house,2.0,13200
27715127,Raja Park,apartment,2.0,14000
42889601,Vaishali Nagar,apartment,2.0,14990
42490065,Patrakar Colony,residential house,3.0,15000
37354971,Jagatpura,builder floor apartment,3.0,16000
40631305,Ajmer Road,apartment,3.0,14000
42842629,Bhankrota,builder floor apartment,4.0,27000
42805827,Mansarovar Extension,apartment,3.0,22000
37830423,Bapu Nagar,apartment,3.0,32000
40863347,Hanuman Nagar,residential house,2.0,12500
30990311,Malviya Nagar,builder floor apartment,3.0,22000
42570111,Vaishali Nagar,residential house,6.0,110000
42356969,Shyam Nagar,apartment,2.0,14000
23078747,Bani Park,apartment,2.0,14000
40112077,Jagatpura,builder floor apartment,1.0,12500
42657211,Raja Park,builder floor apartment,3.0,28000
41465835,Malviya Nagar,builder floor apartment,2.0,18000
35850117,C-Scheme,apartment,3.0,35000
42373397,Jagatpura,builder floor apartment,2.0,12000
42888171,Pratap Nagar,apartment,2.0,10000
42926813,Mansarovar Extension,apartment,3.0,13000
41443499,Lalkothi,apartment,1.0,18000
42840837,Vaishali Nagar,apartment,3.0,15000
38291599,Jagatpura,apartment,2.0,16000
42827621,Civil Lines,apartment,3.0,25000
36282045,Nirman Nagar,residential house,10.0,80000
35182651,Mahaveer Nagar,builder floor apartment,3.0,18000
42871197,Nirman Nagar,apartment,3.0,23000
41935469,C-Scheme,apartment,3.0,28000
42484479,C-Scheme,apartment,3.0,28000
41675815,Pratap Nagar,residential house,2.0,8500
42783313,Mansarovar Extension,apartment,3.0,25000
38738547,Malviya Nagar,apartment,2.0,12000
42805663,Mansarovar,apartment,2.0,13000
33308283,Pratap Nagar,villa,3.0,35000
42730761,Vaishali Nagar,apartment,2.0,28000
40561505,Vaishali Nagar,apartment,4.0,40000
42729481,Raja Park,apartment,2.0,17000
40746165,Ajmer Road,apartment,3.0,18000
40850697,Vaishali Nagar,residential house,2.0,11500
35250813,Vaishali Nagar,builder floor apartment,3.0,24000
41238205,Jagatpura,apartment,3.0,13000
38478683,Vaishali Nagar,apartment,1.0,9200
41753175,Vaishali Nagar,apartment,3.0,20000
28952963,Ajmer Road,residential house,3.0,9000
30395851,Mansarovar,apartment,2.0,14500
42705789,Vaishali Nagar,residential house,1.0,8000
28767883,Pratap Nagar,apartment,1.0,10000
34595431,Chitrakoot,builder floor apartment,2.0,12000
25819535,Civil Lines,residential house,6.0,54000
41871135,Mansarovar,apartment,3.0,16800
42631571,Raja Park,builder floor apartment,2.0,15000
41635507,Tonk Road,apartment,3.0,40000
42266071,Civil Lines,residential house,1.0,15000
14467486,Durgapura,residential house,5.0,35000
35066183,Jagatpura,apartment,2.0,16000
33356681,Jagatpura,apartment,1.0,16000
30770223,Jagatpura,builder floor apartment,3.0,14000
40560799,Vaishali Nagar,apartment,2.0,17500
41057657,Nirman Nagar,builder floor apartment,2.0,15000
30914929,C-Scheme,apartment,3.0,27000
42288493,Jagatpura,apartment,3.0,24000
42515235,Chitrakoot,apartment,3.0,20000
39062227,Malviya Nagar,residential house,1.0,8000
41929025,Siddharth Nagar,builder floor apartment,2.0,8000
41332231,Malviya Nagar,builder floor apartment,3.0,30000
41701377,Nirman Nagar,builder floor apartment,2.0,13000
42738627,C-Scheme,apartment,3.0,18000
42067955,Sanganer,builder floor apartment,3.0,9000
20419659,22 Godam,apartment,3.0,20000
40231067,Jagatpura,penthouse,4.0,35000
40740069,Milap Nagar,residential house,3.0,16500
41019995,Mansarovar Extension,apartment,2.0,15000
40879309,Kalwar,residential house,3.0,11000
40090279,Himmatnagar,residential house,1.0,11000
41452243,Ajmer Road,apartment,3.0,14000
36669499,Nirman Nagar,apartment,3.0,35000
37247869,Sikar Road,builder floor apartment,2.0,12000
27132837,Vinoba Vihar,apartment,2.0,11500
42003401,Jagatpura,villa,3.0,15000
42080915,C-Scheme,apartment,3.0,25000
35926229,Mansarovar,apartment,2.0,20000
36590751,Niwaru Road,apartment,3.0,9000
41121653,Niwaru Road,apartment,3.0,11000
41512189,Mansarovar,residential house,3.0,25000
41327639,Hanuman Nagar,residential house,2.0,11000
40999827,Mansarovar,apartment,3.0,25000
41379375,Ajmer Road,residential house,2.0,13000
28799205,Jagatpura,builder floor apartment,2.0,12000
41933443,Murlipura,apartment,3.0,11000
40819131,Govindpura,residential house,3.0,8000
42234241,Nandpuri,residential house,3.0,12000
25884191,Chitrakoot,residential house,3.0,17000
37370599,Pratap Nagar,residential house,3.0,25000
41643559,Jagatpura,apartment,2.0,19000
17478168,Gopal Pura By Pass,residential house,2.0,18000
41693299,Jagatpura,apartment,3.0,17000
41451445,Murlipura,residential house,3.0,18000
42091899,Ajmer Road,apartment,3.0,10000
42112723,Vaishali Nagar,apartment,3.0,24000
33536231,Bani Park,apartment,4.0,50000
40629947,Pratap Nagar,apartment,3.0,20000
